"TimeLogProperty_ID","TimeLog_IDRef","ProjPropEnum_IDRef"
1,114,9
2,170,9
3,188,11
4,189,16
5,201,1
6,202,10
7,203,11
8,204,12
9,205,12
10,214,1
11,215,1
12,216,10
13,217,11
14,218,12
15,219,12
16,220,12
17,226,13
18,227,14
19,228,11
20,229,10
21,230,15
22,231,16
23,258,11
24,259,11
25,258,7
26,265,10
27,267,12
28,282,7
29,287,11
30,288,1
31,294,14
32,295,14
33,296,14
34,297,12
35,298,16
36,299,16
37,301,17
38,302,10
39,306,18
40,317,10
41,318,7
42,319,7
43,329,15
44,330,11
45,334,11
46,335,14
47,336,16
48,346,1
49,347,1
50,353,20
51,354,11
52,356,10
53,357,16
54,364,22
55,366,23
56,367,24
57,368,23
58,371,11
59,372,14
60,373,16
61,374,16
62,375,11
63,376,11
64,377,14
65,378,14
66,379,14
67,380,10
68,381,10
69,382,10
70,383,10
71,384,10
72,385,13
73,387,16
74,388,16
75,465,7
76,469,10
77,482,9
78,483,17
79,484,25
80,515,26
81,516,7
82,517,12
83,519,1
84,532,4
85,534,1
86,540,1
87,550,27
88,554,12
89,555,10
90,556,5
91,558,14
