permit_id,name,description,comment,grade,timestamp
1,_*_,"Superuser - can do anything",,1,"2015-06-11 22:52:22"
2,org_edit,"Add, change, delete organizations",,1,"2015-06-11 22:52:22"
3,person_edit,"Add, change, delete persons",,10,"2015-06-11 22:52:22"
4,assign_permits,"Grantrevoke permissions",,10,"2015-06-11 22:52:22"
5,project_edit,"Add, change projects","Projects are not deleted.  Only the INACTIVE_ASOF date is set.",10,"2015-06-11 22:52:22"
6,task_edit,"Add, change tasks","Tasks are not deleted.  Only the INACTIVE_ASOF date is set.",100,"2015-06-11 22:52:22"
7,subtask_edit,"Add, change subtasks","Subtasks are not deleted.  Only the INACTIVE_ASOF date is set.",100,"2015-06-11 22:52:22"
8,account_edit,"Add, change accounts","Accounts are not deleted.  Only the INACTIVE_ASOF date is set.",10,"2015-06-11 22:52:22"
9,project_logs,"Download project timelogs",,100,"2015-06-11 22:52:22"
10,edit_logs,"Edit logs of any person in the org",,100,"2015-06-11 22:52:22"
11,reports,"download reports","ie. taskreport",100,"2015-06-11 22:52:22"
12,set_rates,"Set hourly rates",,100,"2015-06-11 22:52:22"
13,accounting_edit,"Add, change accounts lists",,10,"2015-06-11 22:52:22"
