event_id,project_idref,name,description,budget,inactive_asof,timestamp
1,1,010,"Stop Look and Listen",0,,"2014-09-10 22:56:15"
2,1,020,"Walk Around the Block",0,,"2014-09-10 22:56:15"
3,1,030,"Bike Safety",0,,"2014-09-10 22:56:15"
4,1,040,"Traffic Safety",0,,"2014-09-10 22:56:15"
5,1,050,"Bicycle Rodeo",0,,"2014-09-10 22:56:15"
6,1,060,"Bike Skills",0,,"2014-09-10 22:56:15"
7,1,070,"Bike Drills",0,,"2014-09-10 22:56:15"
8,1,080,"Poster Art",0,,"2014-09-10 22:56:15"
9,1,090,Assembly,0,,"2014-09-10 22:56:15"
10,1,100,"Green Classes",0,,"2014-09-10 22:56:15"
11,1,110,"Family Biking",0,,"2014-09-10 22:56:15"
12,1,120,Presentations,0,,"2014-09-10 22:56:15"
13,1,130,"Bicycle Field Trips",0,,"2014-09-10 22:56:15"
14,1,140,"Organize Teen Clubs",0,,"2014-09-10 22:56:15"
30,1,150,"Flats tires and such",0,,"2014-09-10 22:58:10"
